subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct,rhos
SS09,1,Start1,Stop1,429911.07946501183,429916.08617130184,4.0,7.0,0,7.0,True,"[np.float64(0.37513175894183287), np.float64(0.2654798926147099), np.float64(0.22742840866559627), np.float64(0.3046189892661724), np.float64(0.28033072784276836), np.float64(0.25127394253493956)]"
SS09,2,Start2,Stop2,429923.07972864807,429928.27555163397,4.0,8.0,1,8.0,True,"[np.float64(0.2649653126030824), np.float64(0.42023933558362436), np.float64(0.22204990549997378), np.float64(0.30396675934207235), np.float64(0.23391928651609872), np.float64(0.28784255129305203)]"
SS09,3,Start3,Stop3,429935.29143107974,429940.2780388702,4.0,9.0,0,7.0,False,"[np.float64(0.3257666048666246), np.float64(0.22193708588103872), np.float64(0.3161929629805301), np.float64(0.21673992079258408), np.float64(0.2748719714360846), np.float64(0.3207931726757623)]"
SS09,4,Start4,Stop4,429947.07687622076,429952.28287850635,4.0,11.0,3,11.0,True,"[np.float64(0.2569833073074992), np.float64(0.30878928202695116), np.float64(0.177793212813945), np.float64(0.34765600401338626), np.float64(0.27402427073594876), np.float64(0.25220081538452194)]"
SS09,5,Start5,Stop5,429959.2750564527,429964.2723090429,4.0,7.5,4,7.5,True,"[np.float64(0.20827166517178541), np.float64(0.2832846638089793), np.float64(0.21723724706147982), np.float64(0.2046271893832614), np.float64(0.3681866334860401), np.float64(0.21620251797937365)]"
SS09,6,Start6,Stop6,429971.07448799344,429976.2703585793,4.0,8.5,5,8.5,True,"[np.float64(0.31435541364509717), np.float64(0.22101022276928378), np.float64(0.2185824827963308), np.float64(0.1914236869748268), np.float64(0.2623243464438541), np.float64(0.39253489277315756)]"
SS09,7,Start7,Stop7,429983.2737899254,429988.27351041546,4.0,7.0,0,7.0,True,"[np.float64(0.368452342253364), np.float64(0.3267249158116437), np.float64(0.21927101016834494), np.float64(0.20805093867384244), np.float64(0.25193385344590413), np.float64(0.24365384194907663)]"
SS09,8,Start8,Stop8,429995.2715247617,430000.27108095185,4.0,8.0,1,8.0,True,"[np.float64(0.3255625331445523), np.float64(0.43802599451520846), np.float64(0.20640114214213118), np.float64(0.25332262399663036), np.float64(0.26819125462035964), np.float64(0.2414410938635993)]"
SS09,9,Start9,Stop9,430007.68486278894,430012.66892097937,4.0,9.0,4,7.5,False,"[np.float64(0.23367673400298822), np.float64(0.25327089369062883), np.float64(0.28582149475268137), np.float64(0.23845527758920318), np.float64(0.30290115852896093), np.float64(0.24916281740092808)]"
SS09,10,Start10,Stop10,430019.6672423256,430024.6829559154,4.0,11.0,3,11.0,True,"[np.float64(0.29859196297341295), np.float64(0.25523638146458727), np.float64(0.21500843386885643), np.float64(0.393671417649848), np.float64(0.2942978219371501), np.float64(0.2029326772025654)]"
SS09,11,Start11,Stop11,430031.66824136185,430036.668539852,4.0,7.5,4,7.5,True,"[np.float64(0.23326828584623818), np.float64(0.2505590396264913), np.float64(0.2155601967402008), np.float64(0.2496825673253711), np.float64(0.3365757815003273), np.float64(0.19059055640712802)]"
SS09,12,Start12,Stop12,430043.4717732025,430048.6659235883,4.0,8.5,5,8.5,True,"[np.float64(0.25773805616784295), np.float64(0.2825047569880713), np.float64(0.2386257343452691), np.float64(0.2939840973684028), np.float64(0.24170263956806817), np.float64(0.31417222859698246)]"
SS09,13,Start13,Stop13,430055.66613023455,430060.66746682464,4.0,7.0,0,7.0,True,"[np.float64(0.35520140582087756), np.float64(0.25500283686982805), np.float64(0.28034195011006724), np.float64(0.2628538765240644), np.float64(0.255999490082146), np.float64(0.2268048548554818)]"
SS09,14,Start14,Stop14,430067.6667666708,430072.67022106086,4.0,8.0,1,8.0,True,"[np.float64(0.26735174955072954), np.float64(0.46786224751622124), np.float64(0.21474385755493117), np.float64(0.2901284373584489), np.float64(0.24048932537440676), np.float64(0.2128729064299542)]"
SS09,15,Start15,Stop15,430080.08372499794,430085.268381584,4.0,9.0,2,9.0,True,"[np.float64(0.233024088567025), np.float64(0.28548844089127534), np.float64(0.2935021564914911), np.float64(0.23970954378702225), np.float64(0.21713013153343724), np.float64(0.20386106139330795)]"
SS09,16,Start16,Stop16,430092.2713245301,430097.2678652204,4.0,11.0,3,11.0,True,"[np.float64(0.2854350122984275), np.float64(0.22908547550859856), np.float64(0.26637730281360555), np.float64(0.3545707805109458), np.float64(0.27690011584734786), np.float64(0.22691742858983968)]"
SS09,17,Start17,Stop17,430104.2863315661,430109.2687769566,4.0,7.5,4,7.5,True,"[np.float64(0.22905316424081085), np.float64(0.2932871461182432), np.float64(0.2534597309620439), np.float64(0.31521085267248933), np.float64(0.4151966226901271), np.float64(0.21323683831986898)]"
SS09,18,Start18,Stop18,430116.2717453028,430121.27640469273,4.0,8.5,5,8.5,True,"[np.float64(0.2765181075397964), np.float64(0.2801532805899193), np.float64(0.2098973796743767), np.float64(0.22542968163378302), np.float64(0.3109949140514778), np.float64(0.3914899466391012)]"
SS09,19,Start19,Stop19,430128.47275603464,430133.4732503248,4.0,7.0,0,7.0,True,"[np.float64(0.4588874500045705), np.float64(0.35987630890035777), np.float64(0.18259410828722336), np.float64(0.20065212528622842), np.float64(0.2547211131803198), np.float64(0.22509751438810624)]"
SS09,20,Start20,Stop20,430140.47644447087,430145.47633666097,4.0,8.0,1,8.0,True,"[np.float64(0.24361439050139608), np.float64(0.38175657716797684), np.float64(0.24300803578242733), np.float64(0.21251832620309624), np.float64(0.32055953004920895), np.float64(0.25902928119013446)]"
SS09,21,Start21,Stop21,430152.47778440715,430157.4778336972,4.0,9.0,2,9.0,True,"[np.float64(0.24758367644498586), np.float64(0.3336479217531832), np.float64(0.4521083889484032), np.float64(0.19903654229402515), np.float64(0.25941012760239), np.float64(0.2676517707079999)]"
