subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct,rhos,preproc
SS09,1,Start1,Stop1,429911.07946501183,429916.08617130184,4.0,7.0,0,7.0,True,"[np.float64(0.35082383277996765), np.float64(0.2501307543363755), np.float64(0.2221020180279774), np.float64(0.28481242647358734), np.float64(0.2655107714474753), np.float64(0.24280209369333217)]",robust_detrend
SS09,2,Start2,Stop2,429923.07972864807,429928.27555163397,4.0,8.0,1,8.0,True,"[np.float64(0.2506186511431301), np.float64(0.40026448960914984), np.float64(0.21426167154010364), np.float64(0.27924112988643834), np.float64(0.21693171480243437), np.float64(0.280907714485239)]",robust_detrend
SS09,3,Start3,Stop3,429935.29143107974,429940.2780388702,4.0,9.0,0,7.0,False,"[np.float64(0.303071755205725), np.float64(0.20204805039425208), np.float64(0.29946306929405814), np.float64(0.23013224417941436), np.float64(0.2633193114055503), np.float64(0.2916238601502985)]",robust_detrend
SS09,4,Start4,Stop4,429947.07687622076,429952.28287850635,4.0,11.0,3,11.0,True,"[np.float64(0.2384734192457265), np.float64(0.2848965072427754), np.float64(0.1711724873658292), np.float64(0.3184715309556048), np.float64(0.261625516674437), np.float64(0.24085811506424626)]",robust_detrend
SS09,5,Start5,Stop5,429959.2750564527,429964.2723090429,4.0,7.5,4,7.5,True,"[np.float64(0.18733992117467024), np.float64(0.27332674550004393), np.float64(0.21379809676207437), np.float64(0.18507625451551807), np.float64(0.34688630482820754), np.float64(0.2014811974895919)]",robust_detrend
SS09,6,Start6,Stop6,429971.07448799344,429976.2703585793,4.0,8.5,5,8.5,True,"[np.float64(0.3031014421832949), np.float64(0.211636501780634), np.float64(0.21355014550690987), np.float64(0.18837535695349678), np.float64(0.24665563322925874), np.float64(0.37886946015738426)]",robust_detrend
SS09,7,Start7,Stop7,429983.2737899254,429988.27351041546,4.0,7.0,0,7.0,True,"[np.float64(0.3615234472339075), np.float64(0.29748354646433284), np.float64(0.20690338873320524), np.float64(0.19103194154117817), np.float64(0.24055159131938275), np.float64(0.22494344416067164)]",robust_detrend
SS09,8,Start8,Stop8,429995.2715247617,430000.27108095185,4.0,8.0,1,8.0,True,"[np.float64(0.314254585087144), np.float64(0.41908155335666925), np.float64(0.1987080042584632), np.float64(0.24820308482689724), np.float64(0.2552586638620154), np.float64(0.2263575185101513)]",robust_detrend
SS09,9,Start9,Stop9,430007.68486278894,430012.66892097937,4.0,9.0,4,7.5,False,"[np.float64(0.21302751374337345), np.float64(0.24310677502767053), np.float64(0.2747481556828586), np.float64(0.22093241678581288), np.float64(0.28804817551472384), np.float64(0.23387370684956066)]",robust_detrend
SS09,10,Start10,Stop10,430019.6672423256,430024.6829559154,4.0,11.0,3,11.0,True,"[np.float64(0.2695980215389949), np.float64(0.2393996119043708), np.float64(0.20292564413265388), np.float64(0.3646310722437906), np.float64(0.2764864458950166), np.float64(0.19423304934646424)]",robust_detrend
SS09,11,Start11,Stop11,430031.66824136185,430036.668539852,4.0,7.5,4,7.5,True,"[np.float64(0.22536988484656217), np.float64(0.23458049335154174), np.float64(0.20400233725229483), np.float64(0.23591878582996453), np.float64(0.31740139239220316), np.float64(0.1857935887431383)]",robust_detrend
SS09,12,Start12,Stop12,430043.4717732025,430048.6659235883,4.0,8.5,5,8.5,True,"[np.float64(0.24492416325948385), np.float64(0.27258665379660757), np.float64(0.22439914743299189), np.float64(0.269523963711622), np.float64(0.23297640507157474), np.float64(0.30449905708004066)]",robust_detrend
SS09,13,Start13,Stop13,430055.66613023455,430060.66746682464,4.0,7.0,0,7.0,True,"[np.float64(0.3467283620980008), np.float64(0.2504501282463791), np.float64(0.2595123030470533), np.float64(0.2630056590871531), np.float64(0.2452090049085311), np.float64(0.21225648426485097)]",robust_detrend
SS09,14,Start14,Stop14,430067.6667666708,430072.67022106086,4.0,8.0,1,8.0,True,"[np.float64(0.24887789221231213), np.float64(0.45238279803644), np.float64(0.20178318003354126), np.float64(0.2522999239331986), np.float64(0.2334445887208371), np.float64(0.21103526780175785)]",robust_detrend
SS09,15,Start15,Stop15,430080.08372499794,430085.268381584,4.0,9.0,2,9.0,True,"[np.float64(0.22058924124222243), np.float64(0.27493621049607436), np.float64(0.28356954838847), np.float64(0.2288957050318188), np.float64(0.2115212454596141), np.float64(0.19122148698234584)]",robust_detrend
SS09,16,Start16,Stop16,430092.2713245301,430097.2678652204,4.0,11.0,3,11.0,True,"[np.float64(0.26742102690424585), np.float64(0.21442092160244727), np.float64(0.2567837950562056), np.float64(0.3340255442645636), np.float64(0.26245175013140826), np.float64(0.21539123871666166)]",robust_detrend
