subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct,rhos,preproc
SS09,1,Start1,Stop1,429911.07946501183,429916.08617130184,4.0,7.0,0,7.0,True,"[np.float64(0.37512818053171515), np.float64(0.26547808864377426), np.float64(0.22742713502349274), np.float64(0.3043976486671094), np.float64(0.2803303858578255), np.float64(0.2502282979519669)]",robust_detrend+sns+bandpass
SS09,2,Start2,Stop2,429923.07972864807,429928.27555163397,4.0,8.0,1,8.0,True,"[np.float64(0.26496531257447226), np.float64(0.4202392335922654), np.float64(0.22205011676665487), np.float64(0.3039616564221266), np.float64(0.23378633090470788), np.float64(0.28784246858768436)]",robust_detrend+sns+bandpass
SS09,3,Start3,Stop3,429935.29143107974,429940.2780388702,4.0,9.0,0,7.0,False,"[np.float64(0.32576384485853804), np.float64(0.22193648177044636), np.float64(0.31619296297352967), np.float64(0.21673977497160626), np.float64(0.2748615568478487), np.float64(0.3207931727335763)]",robust_detrend+sns+bandpass
SS09,4,Start4,Stop4,429947.07687622076,429952.28287850635,4.0,11.0,3,11.0,True,"[np.float64(0.25698237160970333), np.float64(0.30878697661669263), np.float64(0.17761061307689457), np.float64(0.34765600261557317), np.float64(0.2739893867744967), np.float64(0.2521869015235802)]",robust_detrend+sns+bandpass
SS09,5,Start5,Stop5,429959.2750564527,429964.2723090429,4.0,7.5,4,7.5,True,"[np.float64(0.20827166515110582), np.float64(0.28328454436629946), np.float64(0.21723256553575793), np.float64(0.20462642768953518), np.float64(0.36818624012033624), np.float64(0.21620244352158555)]",robust_detrend+sns+bandpass
SS09,6,Start6,Stop6,429971.07448799344,429976.2703585793,4.0,8.5,5,8.5,True,"[np.float64(0.31434492065936437), np.float64(0.22095489617786007), np.float64(0.21858287387549596), np.float64(0.19139946671313082), np.float64(0.2621153446525935), np.float64(0.39253487783333973)]",robust_detrend+sns+bandpass
SS09,7,Start7,Stop7,429983.2737899254,429988.27351041546,4.0,7.0,0,7.0,True,"[np.float64(0.3684608923906244), np.float64(0.32668361690781944), np.float64(0.2192618594825108), np.float64(0.20805128908582662), np.float64(0.25193338212982824), np.float64(0.24360771024424122)]",robust_detrend+sns+bandpass
SS09,8,Start8,Stop8,429995.2715247617,430000.27108095185,4.0,8.0,1,8.0,True,"[np.float64(0.3255625331681537), np.float64(0.43802599463486297), np.float64(0.20638489371098628), np.float64(0.2533216139896139), np.float64(0.26818909755151393), np.float64(0.24144109387308188)]",robust_detrend+sns+bandpass
SS09,9,Start9,Stop9,430007.68486278894,430012.66892097937,4.0,9.0,4,7.5,False,"[np.float64(0.2336332002953304), np.float64(0.25327031159288893), np.float64(0.2858205948774448), np.float64(0.2384521208954572), np.float64(0.30290115856863153), np.float64(0.24916246199801353)]",robust_detrend+sns+bandpass
SS09,10,Start10,Stop10,430019.6672423256,430024.6829559154,4.0,11.0,3,11.0,True,"[np.float64(0.2985822090410001), np.float64(0.25523568588026085), np.float64(0.21500776371969899), np.float64(0.3936385857201046), np.float64(0.2942980213590633), np.float64(0.2029327509499111)]",robust_detrend+sns+bandpass
SS09,11,Start11,Stop11,430031.66824136185,430036.668539852,4.0,7.5,4,7.5,True,"[np.float64(0.2332668922138762), np.float64(0.25055906228346264), np.float64(0.2155675562533667), np.float64(0.24968097187997912), np.float64(0.33657402647668344), np.float64(0.19059057540155677)]",robust_detrend+sns+bandpass
SS09,12,Start12,Stop12,430043.4717732025,430048.6659235883,4.0,8.5,5,8.5,True,"[np.float64(0.25773858049506987), np.float64(0.28229101118303324), np.float64(0.23861531368498184), np.float64(0.29396033477222033), np.float64(0.24170262357555491), np.float64(0.314006757661062)]",robust_detrend+sns+bandpass
SS09,13,Start13,Stop13,430055.66613023455,430060.66746682464,4.0,7.0,0,7.0,True,"[np.float64(0.3551808137764143), np.float64(0.25496802212184394), np.float64(0.2803418130869785), np.float64(0.26282128801444665), np.float64(0.2554638559581589), np.float64(0.22680475852304674)]",robust_detrend+sns+bandpass
SS09,14,Start14,Stop14,430067.6667666708,430072.67022106086,4.0,8.0,1,8.0,True,"[np.float64(0.2673519761829301), np.float64(0.46782792531209405), np.float64(0.21467267171257223), np.float64(0.2901279717930866), np.float64(0.24048935598314522), np.float64(0.21118182464217136)]",robust_detrend+sns+bandpass
SS09,15,Start15,Stop15,430080.08372499794,430085.268381584,4.0,9.0,2,9.0,True,"[np.float64(0.23302192558936036), np.float64(0.2852915965970056), np.float64(0.2934967481585292), np.float64(0.23969951900842626), np.float64(0.21710892707778065), np.float64(0.2038081700853412)]",robust_detrend+sns+bandpass
SS09,16,Start16,Stop16,430092.2713245301,430097.2678652204,4.0,11.0,3,11.0,True,"[np.float64(0.2854332755904634), np.float64(0.229085487805), np.float64(0.26630720257122015), np.float64(0.35456820703378356), np.float64(0.27672849311112924), np.float64(0.226909052431355)]",robust_detrend+sns+bandpass
SS09,17,Start17,Stop17,430104.2863315661,430109.2687769566,4.0,7.5,4,7.5,True,"[np.float64(0.22905206167819261), np.float64(0.2931933928783485), np.float64(0.25322523319200213), np.float64(0.3152100147764577), np.float64(0.4151930368073254), np.float64(0.21323372438344976)]",robust_detrend+sns+bandpass
SS09,18,Start18,Stop18,430116.2717453028,430121.27640469273,4.0,8.5,5,8.5,True,"[np.float64(0.2765154115472299), np.float64(0.2801314125252723), np.float64(0.20988902403721024), np.float64(0.22542969727420906), np.float64(0.31098338879741483), np.float64(0.39148947162763437)]",robust_detrend+sns+bandpass
SS09,19,Start19,Stop19,430128.47275603464,430133.4732503248,4.0,7.0,0,7.0,True,"[np.float64(0.4588858728403229), np.float64(0.3598596501978037), np.float64(0.18252136940839395), np.float64(0.2005825248609181), np.float64(0.25438717613397926), np.float64(0.22503835960197702)]",robust_detrend+sns+bandpass
