subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct,rhos,preproc
SS09,1,Start1,Stop1,429911.07946501183,429916.08617130184,4.0,7.0,0,7.0,True,"[np.float64(0.37513309038748577), np.float64(0.2654800187466402), np.float64(0.22742836648665654), np.float64(0.3046181141730538), np.float64(0.28033072784110263), np.float64(0.25127394253200935)]",bandpass+dc+sns
SS09,2,Start2,Stop2,429923.07972864807,429928.27555163397,4.0,8.0,1,8.0,True,"[np.float64(0.2649653126030784), np.float64(0.42023933558072996), np.float64(0.22205003330073403), np.float64(0.30396683585441375), np.float64(0.23391872843464637), np.float64(0.28784255129276726)]",bandpass+dc+sns
SS09,3,Start3,Stop3,429935.29143107974,429940.2780388702,4.0,9.0,0,7.0,False,"[np.float64(0.32576660485479486), np.float64(0.22193676641439658), np.float64(0.31619296297506344), np.float64(0.21673990148184707), np.float64(0.2748718765650891), np.float64(0.320793172676997)]",bandpass+dc+sns
SS09,4,Start4,Stop4,429947.07687622076,429952.28287850635,4.0,11.0,3,11.0,True,"[np.float64(0.256983124881961), np.float64(0.3087893730020792), np.float64(0.17779311824307517), np.float64(0.34765600260850127), np.float64(0.27402414938456626), np.float64(0.2522008153759878)]",bandpass+dc+sns
SS09,5,Start5,Stop5,429959.2750564527,429964.2723090429,4.0,7.5,4,7.5,True,"[np.float64(0.2082714417319069), np.float64(0.2832846638113607), np.float64(0.21723732566409654), np.float64(0.20462709441795468), np.float64(0.3681866334924253), np.float64(0.21620244356656784)]",bandpass+dc+sns
SS09,6,Start6,Stop6,429971.07448799344,429976.2703585793,4.0,8.5,5,8.5,True,"[np.float64(0.3143555664308701), np.float64(0.22101073030587542), np.float64(0.21858200550192777), np.float64(0.19142301693310765), np.float64(0.262322675604067), np.float64(0.39253489277747305)]",bandpass+dc+sns
SS09,7,Start7,Stop7,429983.2737899254,429988.27351041546,4.0,7.0,0,7.0,True,"[np.float64(0.3684585976967298), np.float64(0.32672491581609897), np.float64(0.21927095923768977), np.float64(0.20805109587254347), np.float64(0.2519338534460406), np.float64(0.24365372308130767)]",bandpass+dc+sns
SS09,8,Start8,Stop8,429995.2715247617,430000.27108095185,4.0,8.0,1,8.0,True,"[np.float64(0.3255625331487018), np.float64(0.43802599451087526), np.float64(0.2064012732911403), np.float64(0.25332262399593425), np.float64(0.2681912269718301), np.float64(0.24144085446242625)]",bandpass+dc+sns
SS09,9,Start9,Stop9,430007.68486278894,430012.66892097937,4.0,9.0,4,7.5,False,"[np.float64(0.23367647030596675), np.float64(0.2532710868812528), np.float64(0.2858214886342129), np.float64(0.23845527758609536), np.float64(0.3029011748927704), np.float64(0.24916246192014727)]",bandpass+dc+sns
SS09,10,Start10,Stop10,430019.6672423256,430024.6829559154,4.0,11.0,3,11.0,True,"[np.float64(0.29859196297162816), np.float64(0.2552363814628395), np.float64(0.21500841739564713), np.float64(0.39367164943431104), np.float64(0.29429782193642), np.float64(0.20293259494615085)]",bandpass+dc+sns
SS09,11,Start11,Stop11,430031.66824136185,430036.668539852,4.0,7.5,4,7.5,True,"[np.float64(0.2332682858430372), np.float64(0.25055892024128673), np.float64(0.2155646104548476), np.float64(0.2496825673346277), np.float64(0.3365757279745188), np.float64(0.19059055640665193)]",bandpass+dc+sns
SS09,12,Start12,Stop12,430043.4717732025,430048.6659235883,4.0,8.5,5,8.5,True,"[np.float64(0.25773864552348147), np.float64(0.28250475698995375), np.float64(0.2386257343422456), np.float64(0.29398409736378545), np.float64(0.24170258565074737), np.float64(0.3141723808954012)]",bandpass+dc+sns
SS09,13,Start13,Stop13,430055.66613023455,430060.66746682464,4.0,7.0,0,7.0,True,"[np.float64(0.3552014647079181), np.float64(0.2550032019740634), np.float64(0.28034195010397367), np.float64(0.26285352676551976), np.float64(0.25599902099439703), np.float64(0.22680485485022792)]",bandpass+dc+sns
SS09,14,Start14,Stop14,430067.6667666708,430072.67022106086,4.0,8.0,1,8.0,True,"[np.float64(0.2673513417590995), np.float64(0.4678622475255013), np.float64(0.2147439104973016), np.float64(0.29012843456870546), np.float64(0.2404893527395589), np.float64(0.21287399952692698)]",bandpass+dc+sns
SS09,15,Start15,Stop15,430080.08372499794,430085.268381584,4.0,9.0,2,9.0,True,"[np.float64(0.23302408857278037), np.float64(0.28548908616211477), np.float64(0.29350215649964717), np.float64(0.23970961816960967), np.float64(0.21713004208216807), np.float64(0.2038610613914198)]",bandpass+dc+sns
SS09,16,Start16,Stop16,430092.2713245301,430097.2678652204,4.0,11.0,3,11.0,True,"[np.float64(0.28543501231108703), np.float64(0.22908543513574264), np.float64(0.26637731041052976), np.float64(0.3545708128956307), np.float64(0.2769001158542342), np.float64(0.22691742858699843)]",bandpass+dc+sns
SS09,17,Start17,Stop17,430104.2863315661,430109.2687769566,4.0,7.5,4,7.5,True,"[np.float64(0.22905316424392), np.float64(0.2932872357308783), np.float64(0.25345960507040727), np.float64(0.3152108583167004), np.float64(0.4151967047071285), np.float64(0.21323683831897874)]",bandpass+dc+sns
SS09,18,Start18,Stop18,430116.2717453028,430121.27640469273,4.0,8.5,5,8.5,True,"[np.float64(0.2765180630173106), np.float64(0.28015328058994593), np.float64(0.20989737967287328), np.float64(0.22542968163377428), np.float64(0.3109948014628482), np.float64(0.3914899466281308)]",bandpass+dc+sns
SS09,19,Start19,Stop19,430128.47275603464,430133.4732503248,4.0,7.0,0,7.0,True,"[np.float64(0.45888744999598713), np.float64(0.3598763089049682), np.float64(0.18259413861578033), np.float64(0.20065215575757228), np.float64(0.25471959711452713), np.float64(0.22509725278796613)]",bandpass+dc+sns
SS09,20,Start20,Stop20,430140.47644447087,430145.47633666097,4.0,8.0,1,8.0,True,"[np.float64(0.2436137732810747), np.float64(0.3817565771642594), np.float64(0.24300803578423189), np.float64(0.2125184786424989), np.float64(0.3205597162692064), np.float64(0.259029347159942)]",bandpass+dc+sns
SS09,21,Start21,Stop21,430152.47778440715,430157.4778336972,4.0,9.0,2,9.0,True,"[np.float64(0.24758367645216045), np.float64(0.3336479217627229), np.float64(0.4521083667473107), np.float64(0.19903646642498596), np.float64(0.25941012760218013), np.float64(0.26765175128832736)]",bandpass+dc+sns
SS09,22,Start22,Stop22,430164.47799234337,430169.48464253335,4.0,11.0,3,11.0,True,"[np.float64(0.3835564418307484), np.float64(0.2633225915034177), np.float64(0.2791048104359449), np.float64(0.4206248046424215), np.float64(0.22811124624844356), np.float64(0.17019633212346255)]",bandpass+dc+sns
SS09,23,Start23,Stop23,430176.6871792751,430181.67885216547,4.0,7.5,4,7.5,True,"[np.float64(0.21798992066725026), np.float64(0.23742396252363998), np.float64(0.20092434748990867), np.float64(0.23910263756440686), np.float64(0.2859717172693603), np.float64(0.2383353474772386)]",bandpass+dc+sns
SS09,24,Start24,Stop24,430188.68094971153,430193.68206700165,4.0,8.5,5,8.5,True,"[np.float64(0.28898654855630335), np.float64(0.3025832818122934), np.float64(0.24805412612433222), np.float64(0.21251303181452927), np.float64(0.27853294840741977), np.float64(0.47071374759712015)]",bandpass+dc+sns
SS10,1,Start1,Stop1,430690.21940168185,430695.2203141752,4.0,7.0,0,7.0,True,"[np.float64(0.33384421452405766), np.float64(0.2532903536186761), np.float64(0.19169643569851985), np.float64(0.17343349019855453), np.float64(0.21752754530954424), np.float64(0.239233655193664)]",bandpass+dc+sns
SS10,2,Start2,Stop2,430702.6272237134,430707.6285784067,4.0,8.0,1,8.0,True,"[np.float64(0.2711170352694762), np.float64(0.35535342008102005), np.float64(0.22787589664997507), np.float64(0.31994598711393013), np.float64(0.3131842435690337), np.float64(0.2909131031678021)]",bandpass+dc+sns
SS10,3,Start3,Stop3,430714.83075994113,430720.0353219382,4.0,9.0,4,7.5,False,"[np.float64(0.24306697085527137), np.float64(0.3274892684373841), np.float64(0.3423133855581552), np.float64(0.21241235327238103), np.float64(0.35983418181020416), np.float64(0.2693330025747594)]",bandpass+dc+sns
SS10,4,Start4,Stop4,430727.2393131726,430732.2350001659,4.0,11.0,3,11.0,True,"[np.float64(0.25126600013101424), np.float64(0.2480632578032738), np.float64(0.28704092421136407), np.float64(0.3894555716737152), np.float64(0.2615652177452861), np.float64(0.293396055384475)]",bandpass+dc+sns
SS10,5,Start5,Stop5,430739.4427411003,430744.4500976937,4.0,7.5,4,7.5,True,"[np.float64(0.2894030631923046), np.float64(0.27995889946706826), np.float64(0.2386118228426077), np.float64(0.2433989263313619), np.float64(0.402934188856341), np.float64(0.31630780993886876)]",bandpass+dc+sns
SS10,6,Start6,Stop6,430751.64603532804,430756.6978864223,4.0,8.5,5,8.5,True,"[np.float64(0.19712113097301856), np.float64(0.22413547567960335), np.float64(0.2499726556079939), np.float64(0.16055813387865722), np.float64(0.222599288994221), np.float64(0.47738799478297134)]",bandpass+dc+sns
SS10,7,Start7,Stop7,430764.0512566595,430769.0570927529,4.0,7.0,0,7.0,True,"[np.float64(0.45112935852932834), np.float64(0.27496413877971876), np.float64(0.3418871337433972), np.float64(0.20224380649706286), np.float64(0.28832874877507225), np.float64(0.26264781169816187)]",bandpass+dc+sns
SS10,8,Start8,Stop8,430776.2655221874,430781.25826088054,4.0,8.0,1,8.0,True,"[np.float64(0.3174342529493289), np.float64(0.3427754170410613), np.float64(0.29387221684941006), np.float64(0.23309504378958656), np.float64(0.32784540839183574), np.float64(0.24427504713662898)]",bandpass+dc+sns
SS10,9,Start9,Stop9,430788.46459971496,430793.46277280827,4.0,9.0,4,7.5,False,"[np.float64(0.21903099346038454), np.float64(0.30938132763615017), np.float64(0.2815414578678984), np.float64(0.24309131839100975), np.float64(0.3604713083762915), np.float64(0.23123941524823796)]",bandpass+dc+sns
SS10,10,Start10,Stop10,430800.67509944283,430805.67893143615,4.0,11.0,3,11.0,True,"[np.float64(0.27002008598291993), np.float64(0.3051037106445851), np.float64(0.22266378197694642), np.float64(0.3397772292646636), np.float64(0.3102085281142119), np.float64(0.24843637638100718)]",bandpass+dc+sns
SS10,11,Start11,Stop11,430812.87868257053,430817.8823588639,4.0,7.5,4,7.5,True,"[np.float64(0.18243556442253447), np.float64(0.1979543293176655), np.float64(0.20711817160291074), np.float64(0.23814684413533246), np.float64(0.3947010766079971), np.float64(0.21880333762706305)]",bandpass+dc+sns
SS10,12,Start12,Stop12,430825.08220559824,430830.0799972915,4.0,8.5,5,8.5,True,"[np.float64(0.27173062735070086), np.float64(0.2526944224773497), np.float64(0.26749389318694355), np.float64(0.22525792732942998), np.float64(0.2808296289134044), np.float64(0.36449559358904965)]",bandpass+dc+sns
SS10,13,Start13,Stop13,430837.2866171259,430842.2947971194,4.0,7.0,0,7.0,True,"[np.float64(0.48151779007914164), np.float64(0.4168673361603099), np.float64(0.2163136003738696), np.float64(0.21923963633792873), np.float64(0.30167954641678224), np.float64(0.27607959277289473)]",bandpass+dc+sns
SS10,14,Start14,Stop14,430849.49045035365,430854.5051532472,4.0,8.0,1,8.0,True,"[np.float64(0.28283056619946123), np.float64(0.4113923981901828), np.float64(0.21747544630767693), np.float64(0.23371357660205416), np.float64(0.26663038876190903), np.float64(0.2302427050739939)]",bandpass+dc+sns
SS10,15,Start15,Stop15,430861.7050030816,430866.69973997475,4.0,9.0,2,9.0,True,"[np.float64(0.2625699062478794), np.float64(0.2813634173521542), np.float64(0.3416493341015504), np.float64(0.2587929566975373), np.float64(0.2759844804929308), np.float64(0.23140389256083288)]",bandpass+dc+sns
SS10,16,Start16,Stop16,430873.90387450915,430878.91367080266,4.0,11.0,3,11.0,True,"[np.float64(0.22519468159327458), np.float64(0.38589511501726453), np.float64(0.2203507549596458), np.float64(0.4598824639351282), np.float64(0.29522175763022995), np.float64(0.22262255544388432)]",bandpass+dc+sns
SS10,17,Start17,Stop17,430886.3129254407,430891.31149553397,4.0,7.5,4,7.5,True,"[np.float64(0.3103202534759297), np.float64(0.2784111886613055), np.float64(0.1924653629052151), np.float64(0.2541802503845347), np.float64(0.3330293512488715), np.float64(0.2404553959533428)]",bandpass+dc+sns
SS10,18,Start18,Stop18,430898.71036377206,430903.7125928654,4.0,8.5,5,8.5,True,"[np.float64(0.26237975653147494), np.float64(0.3082333402566971), np.float64(0.2057097181402072), np.float64(0.23168519077591887), np.float64(0.27128244245818006), np.float64(0.4157461456123526)]",bandpass+dc+sns
SS10,19,Start19,Stop19,430910.91544299974,430915.9190207931,4.0,7.0,0,7.0,True,"[np.float64(0.41548355085845373), np.float64(0.2690400809822396), np.float64(0.2527741789731783), np.float64(0.2959653061626253), np.float64(0.32090479506932135), np.float64(0.19848033101494963)]",bandpass+dc+sns
SS10,20,Start20,Stop20,430923.1573154282,430927.92811411724,4.0,8.0,1,8.0,True,"[np.float64(0.24402816412732212), np.float64(0.28821234483857144), np.float64(0.2299819264089432), np.float64(0.2557232904973891), np.float64(0.2712305249334255), np.float64(0.2819841658794762)]",bandpass+dc+sns
SS10,21,Start21,Stop21,430935.33119015535,430940.3546744491,4.0,9.0,2,9.0,True,"[np.float64(0.2268232484293423), np.float64(0.3082310747288758), np.float64(0.42434803518644926), np.float64(0.2508836046837647), np.float64(0.30407609987353845), np.float64(0.29088074226166194)]",bandpass+dc+sns
SS10,22,Start22,Stop22,430947.53398498305,430952.5396187764,4.0,11.0,3,11.0,True,"[np.float64(0.21907646413118093), np.float64(0.2451435571429514), np.float64(0.2589989833312431), np.float64(0.41450231040900243), np.float64(0.29852796760599265), np.float64(0.3238291706803431)]",bandpass+dc+sns
SS10,23,Start23,Stop23,430959.74417841085,430964.74360270414,4.0,7.5,4,7.5,True,"[np.float64(0.2692076915650982), np.float64(0.22052151805514986), np.float64(0.23957851834875715), np.float64(0.2445784351224323), np.float64(0.34969690067200804), np.float64(0.26431354711636146)]",bandpass+dc+sns
SS10,24,Start24,Stop24,430971.95139953867,430976.9524102319,4.0,8.5,5,8.5,True,"[np.float64(0.25050941623329276), np.float64(0.32462404919902), np.float64(0.212138384845462), np.float64(0.2325958862497465), np.float64(0.23289432321763281), np.float64(0.3609259056584224)]",bandpass+dc+sns
SS11,1,Start1,Stop1,431160.2850503977,431165.2964761862,4.0,7.0,0,7.0,True,"[np.float64(0.37965715320458615), np.float64(0.23776401924568205), np.float64(0.23562687843622052), np.float64(0.2913847714050725), np.float64(0.34543779834824284), np.float64(0.33791233869430565)]",bandpass+dc+sns
SS11,2,Start2,Stop2,431172.49342918256,431177.4924547716,4.0,8.0,1,8.0,True,"[np.float64(0.3151207334623656), np.float64(0.41958388536773517), np.float64(0.23536270866426887), np.float64(0.18477156315582127), np.float64(0.2894948138890361), np.float64(0.2578375383883141)]",bandpass+dc+sns
SS11,3,Start3,Stop3,431184.69246286777,431189.7030641563,4.0,9.0,2,9.0,True,"[np.float64(0.2560850058133115), np.float64(0.21412303137514033), np.float64(0.33675506785838744), np.float64(0.26277766822223103), np.float64(0.3268121411943657), np.float64(0.22838494271931148)]",bandpass+dc+sns
SS11,4,Start4,Stop4,431196.9018041525,431201.90456334146,4.0,11.0,1,8.0,False,"[np.float64(0.3129645551454038), np.float64(0.3769676628268516), np.float64(0.18871246700109584), np.float64(0.2789565629066125), np.float64(0.2697138264375187), np.float64(0.2532526482813394)]",bandpass+dc+sns
SS11,5,Start5,Stop5,431209.1066103375,431214.1112791263,4.0,7.5,4,7.5,True,"[np.float64(0.3130209848862187), np.float64(0.274438664879701), np.float64(0.23575309285653015), np.float64(0.2602743358371992), np.float64(0.4838421345206017), np.float64(0.2257163464240179)]",bandpass+dc+sns
SS11,6,Start6,Stop6,431221.3207194221,431226.5225081025,4.0,8.5,5,8.5,True,"[np.float64(0.2704790682558094), np.float64(0.24465556640888966), np.float64(0.23243223525562148), np.float64(0.22935880475768294), np.float64(0.3818194266933067), np.float64(0.5235239022896911)]",bandpass+dc+sns
SS11,7,Start7,Stop7,431233.73171129834,431238.764617386,4.0,7.0,0,7.0,True,"[np.float64(0.4610235749053194), np.float64(0.2400895412943983), np.float64(0.21005988203522633), np.float64(0.24564221348801088), np.float64(0.2933587077411644), np.float64(0.24083641759134083)]",bandpass+dc+sns
SS11,8,Start8,Stop8,431245.9293641836,431250.9385503722,4.0,8.0,1,8.0,True,"[np.float64(0.25260217684087694), np.float64(0.4049001755877922), np.float64(0.24970087419352416), np.float64(0.21657395356259296), np.float64(0.39229511875696377), np.float64(0.24132096213113605)]",bandpass+dc+sns
SS11,9,Start9,Stop9,431258.3356342601,431263.1419315573,4.0,9.0,2,9.0,True,"[np.float64(0.21795298539278607), np.float64(0.22287888276649384), np.float64(0.37927436888961263), np.float64(0.22493004834008812), np.float64(0.3462531558585625), np.float64(0.22790176679498217)]",bandpass+dc+sns
SS11,10,Start10,Stop10,431270.54358714493,431275.5463970338,4.0,11.0,3,11.0,True,"[np.float64(0.27130555278294155), np.float64(0.2598619711067624), np.float64(0.24074884973115596), np.float64(0.335555632273757), np.float64(0.299532924351462), np.float64(0.26080000046693275)]",bandpass+dc+sns
SS11,11,Start11,Stop11,431282.7557177296,431287.7543104187,4.0,7.5,4,7.5,True,"[np.float64(0.23663607438239959), np.float64(0.21747384197314873), np.float64(0.26486821070657574), np.float64(0.31463017982394087), np.float64(0.46693566849505097), np.float64(0.2776866733028526)]",bandpass+dc+sns
SS11,12,Start12,Stop12,431294.96635261434,431299.9615449035,4.0,8.5,3,11.0,False,"[np.float64(0.17071644895191304), np.float64(0.24068044495570778), np.float64(0.24781466081325593), np.float64(0.3402644320848833), np.float64(0.33072504492382976), np.float64(0.3162766698484901)]",bandpass+dc+sns
SS11,13,Start13,Stop13,431307.37311459077,431312.3771674796,4.0,7.0,0,7.0,True,"[np.float64(0.4171088473472224), np.float64(0.2158027301466518), np.float64(0.2692089595984912), np.float64(0.22450179793603725), np.float64(0.32066751261266585), np.float64(0.23316822985669305)]",bandpass+dc+sns
SS11,14,Start14,Stop14,431319.57481587585,431324.5791957647,4.0,8.0,1,8.0,True,"[np.float64(0.2438340557532221), np.float64(0.43538063813326017), np.float64(0.33283240139533543), np.float64(0.24836340334195348), np.float64(0.33075203503942147), np.float64(0.22604048891678613)]",bandpass+dc+sns
SS11,15,Start15,Stop15,431331.9839410522,431336.9864181411,4.0,9.0,2,9.0,True,"[np.float64(0.22359240125165866), np.float64(0.22424096074933145), np.float64(0.407957328717586), np.float64(0.25039206770362954), np.float64(0.3062845844037287), np.float64(0.27610640544317433)]",bandpass+dc+sns
SS11,16,Start16,Stop16,431344.1956624369,431349.1954442259,4.0,11.0,3,11.0,True,"[np.float64(0.2602098595548495), np.float64(0.2285140661371634), np.float64(0.28208609516096705), np.float64(0.4190534944913093), np.float64(0.21851920643711964), np.float64(0.25111619749741093)]",bandpass+dc+sns
SS11,17,Start17,Stop17,431356.60901891306,431361.60675510217,4.0,7.5,4,7.5,True,"[np.float64(0.24590590479875554), np.float64(0.19538899463078116), np.float64(0.23990703030044336), np.float64(0.27665343123578834), np.float64(0.4540720028141254), np.float64(0.26695066847805765)]",bandpass+dc+sns
SS11,18,Start18,Stop18,431368.81863049784,431373.81303238706,4.0,8.5,5,8.5,True,"[np.float64(0.2288229210033642), np.float64(0.23063331681180183), np.float64(0.2629156268523348), np.float64(0.1770983856117633), np.float64(0.27045863542560916), np.float64(0.34937275161546194)]",bandpass+dc+sns
SS11,19,Start19,Stop19,431381.0220149829,431386.018729272,4.0,7.0,0,7.0,True,"[np.float64(0.3008553337772285), np.float64(0.29866077283259346), np.float64(0.2539591509312937), np.float64(0.18494911494127503), np.float64(0.2582295172364032), np.float64(0.26881234917552216)]",bandpass+dc+sns
SS11,20,Start20,Stop20,431393.2256040679,431398.22449915693,4.0,8.0,1,8.0,True,"[np.float64(0.30876258073423113), np.float64(0.4409662083884561), np.float64(0.25001467298787217), np.float64(0.20240221822437032), np.float64(0.32352665730656394), np.float64(0.21993493863523464)]",bandpass+dc+sns
SS11,21,Start21,Stop21,431405.4306302529,431410.4308599418,4.0,9.0,2,9.0,True,"[np.float64(0.24480384486857695), np.float64(0.28927568611140364), np.float64(0.41404065836683923), np.float64(0.1951141037265713), np.float64(0.29021816011852075), np.float64(0.23164495036888638)]",bandpass+dc+sns
SS11,22,Start22,Stop22,431417.6420358375,431422.65600602597,4.0,11.0,1,8.0,False,"[np.float64(0.2708380500696004), np.float64(0.3088286718813062), np.float64(0.22620370827001318), np.float64(0.27763419284413776), np.float64(0.2461905309810799), np.float64(0.19382018746707602)]",bandpass+dc+sns
