subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct,rhos,preproc
SS09,1,Start1,Stop1,429911.07946501183,429916.08617130184,4.0,7.0,0,7.0,True,"[np.float64(0.37509114801547133), np.float64(0.2654078098471251), np.float64(0.22741906789475322), np.float64(0.30461449892471426), np.float64(0.2803307278855667), np.float64(0.25127256552471533)]",bandpass+dc+sns+asr
SS09,2,Start2,Stop2,429923.07972864807,429928.27555163397,4.0,8.0,1,8.0,True,"[np.float64(0.26496540191024587), np.float64(0.42021266313743116), np.float64(0.22199907765286153), np.float64(0.3039616565786378), np.float64(0.23386057629895787), np.float64(0.2878421245542975)]",bandpass+dc+sns+asr
SS09,3,Start3,Stop3,429935.29143107974,429940.2780388702,4.0,9.0,0,7.0,False,"[np.float64(0.3257666048774509), np.float64(0.22193731238921924), np.float64(0.3161924533102784), np.float64(0.21673351484318382), np.float64(0.2748714733565835), np.float64(0.3207849880390752)]",bandpass+dc+sns+asr
SS09,4,Start4,Stop4,429947.07687622076,429952.28287850635,4.0,11.0,3,11.0,True,"[np.float64(0.25679924348994604), np.float64(0.30877832779684905), np.float64(0.17769527642888755), np.float64(0.34765593941757844), np.float64(0.27401887379340933), np.float64(0.25218690142880007)]",bandpass+dc+sns+asr
SS09,5,Start5,Stop5,429959.2750564527,429964.2723090429,4.0,7.5,4,7.5,True,"[np.float64(0.16528335699198607), np.float64(0.283284687747984), np.float64(0.21723460464168176), np.float64(0.20462174794194293), np.float64(0.3681638156181601), np.float64(0.21619804922933286)]",bandpass+dc+sns+asr
SS09,6,Start6,Stop6,429971.07448799344,429976.2703585793,4.0,8.5,5,8.5,True,"[np.float64(0.3142062228104547), np.float64(0.22100892739312278), np.float64(0.21856249017486803), np.float64(0.19045175095353664), np.float64(0.26229066337132834), np.float64(0.39253489394112334)]",bandpass+dc+sns+asr
SS09,7,Start7,Stop7,429983.2737899254,429988.27351041546,4.0,7.0,0,7.0,True,"[np.float64(0.36844914221695424), np.float64(0.3267161577158129), np.float64(0.2192710263868398), np.float64(0.20796594340035177), np.float64(0.2519333821135715), np.float64(0.24360771022073366)]",bandpass+dc+sns+asr
SS09,8,Start8,Stop8,429995.2715247617,430000.27108095185,4.0,8.0,1,8.0,True,"[np.float64(0.3255171960601668), np.float64(0.4380256463123569), np.float64(0.20640099726344008), np.float64(0.25332252483485873), np.float64(0.26818158856716773), np.float64(0.2414347769176423)]",bandpass+dc+sns+asr
SS09,9,Start9,Stop9,430007.68486278894,430012.66892097937,4.0,9.0,4,7.5,False,"[np.float64(0.23367415616508141), np.float64(0.25327119318490876), np.float64(0.2858214177004859), np.float64(0.2384551954557542), np.float64(0.3029011585286999), np.float64(0.24915286050448276)]",bandpass+dc+sns+asr
SS09,10,Start10,Stop10,430019.6672423256,430024.6829559154,4.0,11.0,3,11.0,True,"[np.float64(0.2985901496025932), np.float64(0.2552323718454474), np.float64(0.21500843932550393), np.float64(0.3936385856913383), np.float64(0.2942942094063274), np.float64(0.20291558430565923)]",bandpass+dc+sns+asr
