subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct
SS09,1,Start1,Stop1,429911.07946501183,429916.08617130184,4.0,7.0,0,7.0,True
SS09,2,Start2,Stop2,429923.07972864807,429928.27555163397,4.0,8.0,0,7.0,False
SS09,3,Start3,Stop3,429935.29143107974,429940.2780388702,4.0,9.0,0,7.0,False
SS09,4,Start4,Stop4,429947.07687622076,429952.28287850635,4.0,11.0,0,7.0,False
SS09,5,Start5,Stop5,429959.2750564527,429964.2723090429,4.0,7.5,0,7.0,False
SS09,6,Start6,Stop6,429971.07448799344,429976.2703585793,4.0,8.5,0,7.0,False
SS09,7,Start7,Stop7,429983.2737899254,429988.27351041546,4.0,7.0,0,7.0,True
SS09,8,Start8,Stop8,429995.2715247617,430000.27108095185,4.0,8.0,0,7.0,False
SS09,9,Start9,Stop9,430007.68486278894,430012.66892097937,4.0,9.0,0,7.0,False
SS09,10,Start10,Stop10,430019.6672423256,430024.6829559154,4.0,11.0,0,7.0,False
SS09,11,Start11,Stop11,430031.66824136185,430036.668539852,4.0,7.5,0,7.0,False
SS09,12,Start12,Stop12,430043.4717732025,430048.6659235883,4.0,8.5,0,7.0,False
SS09,13,Start13,Stop13,430055.66613023455,430060.66746682464,4.0,7.0,0,7.0,True
SS09,14,Start14,Stop14,430067.6667666708,430072.67022106086,4.0,8.0,0,7.0,False
SS09,15,Start15,Stop15,430080.08372499794,430085.268381584,4.0,9.0,0,7.0,False
SS09,16,Start16,Stop16,430092.2713245301,430097.2678652204,4.0,11.0,0,7.0,False
SS09,17,Start17,Stop17,430104.2863315661,430109.2687769566,4.0,7.5,0,7.0,False
SS09,18,Start18,Stop18,430116.2717453028,430121.27640469273,4.0,8.5,0,7.0,False
SS09,19,Start19,Stop19,430128.47275603464,430133.4732503248,4.0,7.0,0,7.0,True
SS09,20,Start20,Stop20,430140.47644447087,430145.47633666097,4.0,8.0,0,7.0,False
SS09,21,Start21,Stop21,430152.47778440715,430157.4778336972,4.0,9.0,0,7.0,False
SS09,22,Start22,Stop22,430164.47799234337,430169.48464253335,4.0,11.0,0,7.0,False
SS09,23,Start23,Stop23,430176.6871792751,430181.67885216547,4.0,7.5,0,7.0,False
SS09,24,Start24,Stop24,430188.68094971153,430193.68206700165,4.0,8.5,0,7.0,False
SS10,1,Start1,Stop1,430690.21940168185,430695.2203141752,4.0,7.0,0,7.0,True
SS10,2,Start2,Stop2,430702.6272237134,430707.6285784067,4.0,8.0,0,7.0,False
SS10,3,Start3,Stop3,430714.83075994113,430720.0353219382,4.0,9.0,0,7.0,False
SS10,4,Start4,Stop4,430727.2393131726,430732.2350001659,4.0,11.0,0,7.0,False
SS10,5,Start5,Stop5,430739.4427411003,430744.4500976937,4.0,7.5,0,7.0,False
SS10,6,Start6,Stop6,430751.64603532804,430756.6978864223,4.0,8.5,0,7.0,False
SS10,7,Start7,Stop7,430764.0512566595,430769.0570927529,4.0,7.0,0,7.0,True
SS10,8,Start8,Stop8,430776.2655221874,430781.25826088054,4.0,8.0,0,7.0,False
SS10,9,Start9,Stop9,430788.46459971496,430793.46277280827,4.0,9.0,0,7.0,False
SS10,10,Start10,Stop10,430800.67509944283,430805.67893143615,4.0,11.0,0,7.0,False
SS10,11,Start11,Stop11,430812.87868257053,430817.8823588639,4.0,7.5,0,7.0,False
SS10,12,Start12,Stop12,430825.08220559824,430830.0799972915,4.0,8.5,0,7.0,False
SS10,13,Start13,Stop13,430837.2866171259,430842.2947971194,4.0,7.0,0,7.0,True
SS10,14,Start14,Stop14,430849.49045035365,430854.5051532472,4.0,8.0,0,7.0,False
SS10,15,Start15,Stop15,430861.7050030816,430866.69973997475,4.0,9.0,0,7.0,False
SS10,16,Start16,Stop16,430873.90387450915,430878.91367080266,4.0,11.0,0,7.0,False
SS10,17,Start17,Stop17,430886.3129254407,430891.31149553397,4.0,7.5,0,7.0,False
SS10,18,Start18,Stop18,430898.71036377206,430903.7125928654,4.0,8.5,0,7.0,False
SS10,19,Start19,Stop19,430910.91544299974,430915.9190207931,4.0,7.0,0,7.0,True
SS10,20,Start20,Stop20,430923.1573154282,430927.92811411724,4.0,8.0,0,7.0,False
SS10,21,Start21,Stop21,430935.33119015535,430940.3546744491,4.0,9.0,0,7.0,False
SS10,22,Start22,Stop22,430947.53398498305,430952.5396187764,4.0,11.0,0,7.0,False
SS10,23,Start23,Stop23,430959.74417841085,430964.74360270414,4.0,7.5,0,7.0,False
SS10,24,Start24,Stop24,430971.95139953867,430976.9524102319,4.0,8.5,0,7.0,False
SS11,1,Start1,Stop1,431160.2850503977,431165.2964761862,4.0,7.0,0,7.0,True
SS11,2,Start2,Stop2,431172.49342918256,431177.4924547716,4.0,8.0,0,7.0,False
SS11,3,Start3,Stop3,431184.69246286777,431189.7030641563,4.0,9.0,0,7.0,False
SS11,4,Start4,Stop4,431196.9018041525,431201.90456334146,4.0,11.0,0,7.0,False
SS11,5,Start5,Stop5,431209.1066103375,431214.1112791263,4.0,7.5,0,7.0,False
SS11,6,Start6,Stop6,431221.3207194221,431226.5225081025,4.0,8.5,0,7.0,False
SS11,7,Start7,Stop7,431233.73171129834,431238.764617386,4.0,7.0,0,7.0,True
SS11,8,Start8,Stop8,431245.9293641836,431250.9385503722,4.0,8.0,0,7.0,False
SS11,9,Start9,Stop9,431258.3356342601,431263.1419315573,4.0,9.0,0,7.0,False
SS11,10,Start10,Stop10,431270.54358714493,431275.5463970338,4.0,11.0,0,7.0,False
SS11,11,Start11,Stop11,431282.7557177296,431287.7543104187,4.0,7.5,0,7.0,False
SS11,12,Start12,Stop12,431294.96635261434,431299.9615449035,4.0,8.5,0,7.0,False
SS11,13,Start13,Stop13,431307.37311459077,431312.3771674796,4.0,7.0,0,7.0,True
SS11,14,Start14,Stop14,431319.57481587585,431324.5791957647,4.0,8.0,0,7.0,False
SS11,15,Start15,Stop15,431331.9839410522,431336.9864181411,4.0,9.0,0,7.0,False
