subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct,scores,preproc
SS09,1,Start1,Stop1,429911.07946501183,429916.08617130184,4.0,7.0,2,9.0,False,"[np.float64(115924.16554737049), np.float64(120320.36066032063), np.float64(10160030.460454134), np.float64(335776.0988563806), np.float64(706585.1878065101), np.float64(148287.34556169956)]",bandpass+dc+sns
SS09,2,Start2,Stop2,429923.07972864807,429928.27555163397,4.0,8.0,2,9.0,False,"[np.float64(67750.63876499026), np.float64(73850.61170679076), np.float64(2859645.5213808212), np.float64(479442.8022442086), np.float64(618078.6446021961), np.float64(40952.339508920166)]",bandpass+dc+sns
SS09,3,Start3,Stop3,429935.29143107974,429940.2780388702,4.0,9.0,2,9.0,True,"[np.float64(103552.19852594298), np.float64(75675.86670156817), np.float64(4018633.5841572313), np.float64(96223.51887094504), np.float64(1387363.2167648962), np.float64(28149.35356995464)]",bandpass+dc+sns
SS09,4,Start4,Stop4,429947.07687622076,429952.28287850635,4.0,11.0,2,9.0,False,"[np.float64(101819.7838692483), np.float64(137989.4494578332), np.float64(741070.7646394488), np.float64(208148.13797467295), np.float64(676556.6227589537), np.float64(63979.11051872152)]",bandpass+dc+sns
SS09,5,Start5,Stop5,429959.2750564527,429964.2723090429,4.0,7.5,2,9.0,False,"[np.float64(25241.064647620817), np.float64(444083.6098332275), np.float64(2428070.600296543), np.float64(59674.81714136141), np.float64(1104466.9475247127), np.float64(38814.786999422824)]",bandpass+dc+sns
SS09,6,Start6,Stop6,429971.07448799344,429976.2703585793,4.0,8.5,2,9.0,False,"[np.float64(33310.09643059509), np.float64(165210.99751637114), np.float64(1210829.4616848622), np.float64(64931.541744504735), np.float64(306141.2555079854), np.float64(173016.4807739283)]",bandpass+dc+sns
SS09,7,Start7,Stop7,429983.2737899254,429988.27351041546,4.0,7.0,2,9.0,False,"[np.float64(204064.76024216745), np.float64(350715.25577995967), np.float64(1779360.487292356), np.float64(61153.08344827701), np.float64(1079529.716637057), np.float64(186105.9599843244)]",bandpass+dc+sns
SS09,8,Start8,Stop8,429995.2715247617,430000.27108095185,4.0,8.0,2,9.0,False,"[np.float64(240067.8213673313), np.float64(861023.0969537306), np.float64(932669678527.7217), np.float64(41951.10992473036), np.float64(1420546.8385448547), np.float64(48054.311088188035)]",bandpass+dc+sns
SS09,9,Start9,Stop9,430007.68486278894,430012.66892097937,4.0,9.0,2,9.0,True,"[np.float64(15062.172500291192), np.float64(149260.295769642), np.float64(76334870.65645957), np.float64(100058.80439248214), np.float64(1186714.109594226), np.float64(19929.37711576184)]",bandpass+dc+sns
SS09,10,Start10,Stop10,430019.6672423256,430024.6829559154,4.0,11.0,2,9.0,False,"[np.float64(112629.59353697475), np.float64(227406.74225912412), np.float64(720832.7443303382), np.float64(169302.78928648317), np.float64(10728.079447129116), np.float64(57495.18131224004)]",bandpass+dc+sns
